"reef","date","bleached","total_zoox_mean"
"reef_25",2014-10-24,FALSE,-2.54224544905387
"reef_25",2014-10-24,TRUE,-4.84149096804087
"reef_25",2014-11-04,FALSE,-2.8914839888744
"reef_25",2014-11-04,TRUE,-5.02752601055573
"reef_25",2014-11-24,FALSE,-2.01731365556973
"reef_25",2014-11-24,TRUE,-3.90560105077096
"reef_25",2014-11-24,NA,NA
"reef_25",2014-12-16,FALSE,-2.78174827317304
"reef_25",2014-12-16,TRUE,-4.08658481024303
"reef_25",2015-01-14,FALSE,-1.07673142457156
"reef_25",2015-01-14,TRUE,-2.00647522955954
"reef_25",2015-01-14,NA,NA
"reef_25",2015-05-06,FALSE,-2.41481566429134
"reef_25",2015-05-06,TRUE,-3.62257159244224
"reef_25",2015-05-06,NA,NA
"reef_25",2015-08-11,FALSE,-3.01642429199067
"reef_25",2015-08-11,TRUE,-3.67321857683188
"reef_25",2015-08-11,NA,NA
"reef_25",2015-09-14,FALSE,-2.51119972051407
"reef_25",2015-09-14,TRUE,-4.64633822591527
"reef_25",2015-09-14,NA,NA
"reef_25",2015-10-01,FALSE,-3.65313348872742
"reef_25",2015-10-01,TRUE,-6.25862491370811
"reef_25",2015-10-01,NA,NA
"reef_25",2015-10-21,FALSE,-2.9180790744121
"reef_25",2015-10-21,TRUE,-8.15096910903298
"reef_25",2015-10-21,NA,NA
"reef_25",2015-11-04,FALSE,-1.76394222571495
"reef_25",2015-11-04,TRUE,-5.59919407268007
"reef_25",2015-11-04,NA,NA
"reef_25",2015-12-04,FALSE,-2.5571297557877
"reef_25",2015-12-04,TRUE,-3.59348189399721
"reef_25",2015-12-17,FALSE,-1.52739954259538
"reef_25",2015-12-17,TRUE,-1.56835608432926
"reef_25",2015-12-17,NA,NA
"reef_25",2016-01-20,FALSE,-2.34616781268391
"reef_25",2016-01-20,TRUE,-3.26100977162854
"reef_25",2016-01-20,NA,NA
"reef_25",2016-02-11,FALSE,-2.46609689156922
"reef_25",2016-02-11,TRUE,-2.71293638278933
"reef_25",2016-02-11,NA,NA
"reef_25",2016-03-31,FALSE,-3.38412622123028
"reef_25",2016-03-31,TRUE,-3.40641374249823
"reef_42",2015-10-01,FALSE,-2.13650471785513
"reef_42",2015-10-01,TRUE,-6.58248769587398
"reef_42",2015-10-01,NA,NA
"reef_42",2015-10-21,FALSE,-3.23883364529713
"reef_42",2015-10-21,TRUE,-5.08013575075114
"reef_42",2015-10-21,NA,NA
"reef_42",2015-11-04,FALSE,-1.73754580855485
"reef_42",2015-11-04,TRUE,-3.20658213247719
"reef_42",2015-11-04,NA,NA
"reef_42",2015-12-04,FALSE,-2.98622403711019
"reef_42",2015-12-04,TRUE,-2.6884111462059
"reef_42",2015-12-17,FALSE,-1.17421157942328
"reef_42",2015-12-17,TRUE,-2.81547658274345
"reef_42",2015-12-17,NA,NA
"reef_42",2016-01-20,FALSE,-2.51109821319665
"reef_42",2016-01-20,TRUE,-2.2735958918629
"reef_42",2016-01-20,NA,NA
"reef_42",2016-02-11,FALSE,-2.87949361324278
"reef_42",2016-02-11,TRUE,-1.75427532506813
"reef_42",2016-02-11,NA,NA
"reef_42",2016-03-31,FALSE,-3.11546054679893
"reef_42",2016-03-31,TRUE,-2.47868276754126
"reef_44",2014-10-24,FALSE,-2.04726057344706
"reef_44",2014-10-24,TRUE,-4.46054145486052
"reef_44",2014-11-04,FALSE,-1.99717960120901
"reef_44",2014-11-04,TRUE,-4.57167518943143
"reef_44",2014-11-04,NA,NA
"reef_44",2014-11-24,FALSE,-1.35769822195938
"reef_44",2014-11-24,TRUE,-2.14240311383841
"reef_44",2014-11-24,NA,NA
"reef_44",2014-12-16,FALSE,-2.33092522149089
"reef_44",2014-12-16,TRUE,-2.19970657294957
"reef_44",2014-12-16,NA,NA
"reef_44",2015-01-14,FALSE,-1.59224756648733
"reef_44",2015-01-14,TRUE,-1.6790087841903
"reef_44",2015-01-14,NA,NA
"reef_44",2015-05-06,FALSE,-1.61543234439732
"reef_44",2015-05-06,TRUE,-2.87043856611815
"reef_44",2015-05-06,NA,NA
"reef_44",2015-08-11,FALSE,-2.4763557023286
"reef_44",2015-08-11,TRUE,-2.71642130090656
"reef_44",2015-08-11,NA,NA
"reef_44",2015-09-14,FALSE,-2.41833914728342
"reef_44",2015-09-14,TRUE,-4.25117845118708
"reef_44",2015-09-14,NA,NA
"reef_44",2015-10-01,FALSE,-3.13176902292468
"reef_44",2015-10-01,TRUE,-5.49787795416379
"reef_44",2015-10-01,NA,NA
"reef_44",2015-10-21,FALSE,-2.0140741674407
"reef_44",2015-10-21,TRUE,-3.10866560153648
"reef_44",2015-10-21,NA,NA
"reef_44",2015-11-04,FALSE,-1.87535576380819
"reef_44",2015-11-04,TRUE,-1.79088796189924
"reef_44",2015-11-04,NA,NA
"reef_44",2015-12-04,FALSE,-2.42992630097145
"reef_44",2015-12-04,TRUE,-2.98763335965802
"reef_44",2015-12-17,FALSE,-2.06832895644591
"reef_44",2015-12-17,TRUE,-1.54956279839852
"reef_44",2015-12-17,NA,NA
"reef_44",2016-01-20,FALSE,-2.39154636950861
"reef_44",2016-01-20,TRUE,-2.91103055648637
"reef_44",2016-01-20,NA,NA
"reef_44",2016-02-11,FALSE,-1.84098869488958
"reef_44",2016-02-11,TRUE,-2.31780435357178
"reef_44",2016-02-11,NA,NA
"reef_44",2016-03-31,FALSE,-2.45847481787211
"reef_44",2016-03-31,TRUE,-2.86567332244396
"reef_himb",2014-10-24,FALSE,-2.66998283422332
"reef_himb",2014-10-24,TRUE,-4.21619643408143
"reef_himb",2014-10-24,NA,NA
"reef_himb",2014-11-04,FALSE,-2.74563278027067
"reef_himb",2014-11-04,TRUE,-5.00617021116301
"reef_himb",2014-11-24,FALSE,-2.50615916522564
"reef_himb",2014-11-24,TRUE,-4.77674846804915
"reef_himb",2014-11-24,NA,NA
"reef_himb",2014-12-16,FALSE,-2.0435857942314
"reef_himb",2014-12-16,TRUE,-5.14924851977585
"reef_himb",2014-12-16,NA,NA
"reef_himb",2015-01-14,FALSE,-0.711226395412315
"reef_himb",2015-01-14,TRUE,-2.16171138764279
"reef_himb",2015-01-14,NA,NA
"reef_himb",2015-05-06,FALSE,-3.13274268876901
"reef_himb",2015-05-06,TRUE,-3.62735640011027
"reef_himb",2015-05-06,NA,NA
"reef_himb",2015-08-11,FALSE,-2.98370934724086
"reef_himb",2015-08-11,TRUE,-2.80510179381025
"reef_himb",2015-08-11,NA,NA
"reef_himb",2015-09-14,FALSE,-2.37792046119807
"reef_himb",2015-09-14,TRUE,-4.69864703789041
"reef_himb",2015-09-14,NA,NA
"reef_himb",2015-10-01,FALSE,-2.3652273071312
"reef_himb",2015-10-01,TRUE,-7.36270643274744
"reef_himb",2015-10-01,NA,NA
"reef_himb",2015-10-21,FALSE,-3.01091468218373
"reef_himb",2015-10-21,TRUE,-8.07007920773637
"reef_himb",2015-10-21,NA,NA
"reef_himb",2015-11-04,FALSE,-2.08588619803303
"reef_himb",2015-11-04,TRUE,-6.21706805553005
"reef_himb",2015-11-04,NA,NA
"reef_himb",2015-12-04,FALSE,-3.33527027747867
"reef_himb",2015-12-04,TRUE,-3.90658508494084
"reef_himb",2015-12-17,FALSE,-2.17737695120807
"reef_himb",2015-12-17,TRUE,-1.9385553038763
"reef_himb",2015-12-17,NA,NA
"reef_himb",2016-01-20,FALSE,-2.15636616095492
"reef_himb",2016-01-20,TRUE,-2.70961620688308
"reef_himb",2016-01-20,NA,NA
"reef_himb",2016-02-11,FALSE,-2.35921729335387
"reef_himb",2016-02-11,TRUE,-1.92299353091419
"reef_himb",2016-02-11,NA,NA
"reef_himb",2016-03-31,FALSE,-3.12880283623348
"reef_himb",2016-03-31,TRUE,-2.54704041401256
